,0,1,2,3,0.1,3.1
"[1.5, 0.5]",,-0.19038328000000013,3.3983969748158587,,,
"[0.5, 0.5]",,,0.0,0.2759672000000004,,
"[0.5, 1.5]",-0.09217200000000014,,,0.291799,,
"[0.5, 2.5]",-0.09209999999999996,,,0.38685590763609,,
"[0.5, 3.5]",-0.18153803860868092,,,0.46942600501,,
"[0.5, 4.5]",-0.2700801272999999,,0.200899,,,
"[1.5, 4.5]",,0.0,0.20089,,,
"[2.5, 4.5]",,0.0,0.200806633,,,
"[3.5, 4.5]",-0.09400000000000004,0.0,0.30217577032,,,
"[3.5, 3.5]",-0.099,,,0.19989,,
"[3.5, 2.5]",0.0,,,0.1919990000000001,,
"[4.5, 4.5]",,0.0,0.48101061520000005,,,
"[5.5, 4.5]",,-0.18055243199999998,0.474022902,,,
"[6.5, 4.5]",5.9402,-0.0898617918,,,,
"[6.5, 3.5]",0.0,,,0.0,,
"[2.5, 0.5]",,-0.2327132806470327,3.22158045538407,,,
"[3.5, 0.5]",,-0.099109,3.1112290122564805,0.1,,
"[4.5, 0.5]",,-0.09309099999999997,3.439160864731209,,,
"[5.5, 0.5]",,-0.4693306637898543,3.199193800552804,,,
"[6.5, 0.5]",,-0.16613695240534027,,3.665022764873551,,
"[6.5, 1.5]",-0.26753623938975546,,,8.942317350801929,,
"[6.5, 2.5]",-0.16067850110196116,,,50.565581133680716,,
"[3.5, 1.5]",,,,,0.0,0.0
